year,bounds and leaps,leaps and bounds
1900,4.429912825454352e-09,4.571336091885314e-07
1901,4.540013298637291e-09,4.7427993195015005e-07
1902,4.400033633740937e-09,4.952602618383631e-07
1903,5.203003964179434e-09,5.042663896607078e-07
1904,4.5482358197140064e-09,5.339278946589079e-07
1905,4.507019995309796e-09,5.66148116831755e-07
1906,5.731574928954533e-09,5.845861080290758e-07
1907,5.44691894762853e-09,6.142194268120096e-07
1908,6.004365227241237e-09,6.53303451209857e-07
1909,5.974791455238509e-09,6.693655011856338e-07
1910,4.648542931536984e-09,7.0659402646405e-07
1911,4.9915313945650806e-09,7.192678432537442e-07
1912,5.060026382024725e-09,7.531792058606308e-07
1913,4.443160395162238e-09,7.904076093317209e-07
1914,4.444828140469172e-09,8.063095801194972e-07
1915,3.1758939763751724e-09,8.188758654016835e-07
1916,2.8025635225224578e-09,8.570911924315234e-07
1917,2.903008270279831e-09,8.71471846559351e-07
1918,2.608304389933076e-09,9.056931113653783e-07
1919,2.4398352148148815e-09,9.02561022745171e-07
1920,2.0802943891316617e-09,9.020689942320002e-07
1921,1.7696215683292239e-09,8.994753670776845e-07
1922,2.1546441535719954e-09,8.810310500198934e-07
1923,2.1645516173102966e-09,8.519321486996237e-07
1924,2.0762877290485856e-09,8.336975594959637e-07
1925,1.841839268403232e-09,8.033932041533782e-07
1926,1.9100526081418577e-09,8.108011521861564e-07
1927,1.6619044870428264e-09,7.992643661834466e-07
1928,1.368715363270212e-09,7.968421219369962e-07
1929,9.836927780274403e-10,7.960361147395036e-07
1930,8.48098781678987e-10,8.020939422489651e-07
1931,1.0017989295261843e-09,8.143820683212002e-07
1932,1.3778411110467103e-09,8.174450597055381e-07
1933,2.077941120757844e-09,8.169908807888402e-07
1934,2.6575865952338518e-09,8.227846381357397e-07
1935,2.9823134755397565e-09,8.323400818101488e-07
1936,3.439745567744369e-09,8.457802290909708e-07
1937,3.681998642487575e-09,8.465415005178199e-07
1938,3.542587889704407e-09,8.274582065886144e-07
1939,3.0487464140551067e-09,8.220457224134796e-07
1940,2.7795529846029255e-09,8.056347106893165e-07
1941,2.199907510126918e-09,8.028952882861111e-07
1942,1.7880387012273298e-09,7.851026485436055e-07
1943,1.5680643767573039e-09,7.664292200258518e-07
1944,1.6350627518590954e-09,7.46830023347554e-07
1945,1.7916994396064263e-09,7.382622990397587e-07
1946,2.0528603896151155e-09,7.223888068048317e-07
1947,1.4242351266600751e-09,6.906158367720699e-07
1948,1.9588152528576028e-09,6.507055932810804e-07
1949,2.245037901614312e-09,6.208477267526697e-07
1950,2.007580133879726e-09,5.920275936789819e-07
1951,1.95616871907183e-09,5.763146678613598e-07
1952,1.7493162474124802e-09,5.569988924695021e-07
1953,1.488155297403791e-09,5.459163178654438e-07
1954,1.314405631954888e-09,5.343252220362566e-07
1955,9.244105639690961e-10,5.196685037844873e-07
1956,4.839776040250448e-10,5.123270544312877e-07
1957,8.499680483252194e-10,5.041365430510528e-07
1958,7.033884347989223e-10,4.885255577846692e-07
1959,8.752460105882725e-10,4.7276569960428917e-07
1960,9.235893756136854e-10,4.6080141454954824e-07
1961,1.1185470605301617e-09,4.455640570150925e-07
1962,9.73962002318426e-10,4.440317817560364e-07
1963,9.73962002318426e-10,4.3140278194186976e-07
1964,9.594401582736977e-10,4.234442120118079e-07
1965,1.0641526271282231e-09,4.1346919082181035e-07
1966,8.469802557721704e-10,4.08031123047944e-07
1967,1.1132699087986912e-09,4.0032444254783126e-07
1968,1.164704019737276e-09,3.976275146604686e-07
1969,1.3016002759729567e-09,3.848680551397722e-07
1970,1.6183794820141222e-09,3.73661078713537e-07
1971,1.3375363079009312e-09,3.650089094467798e-07
1972,1.1911754638216365e-09,3.5693528437669944e-07
1973,1.5590286997887608e-09,3.455776891314599e-07
1974,1.3437267092670474e-09,3.3759040109414074e-07
1975,1.2936643423167027e-09,3.3076936948158877e-07
1976,1.219862913063149e-09,3.2455179978439575e-07
1977,1.1199277259534212e-09,3.219002491862609e-07
1978,1.0801742694743766e-09,3.102571294480835e-07
1979,1.0400810232910222e-09,3.062443941611751e-07
1980,8.940532937001017e-10,3.0137845133789855e-07
1981,8.216296214819912e-10,2.9448079885696643e-07
1982,7.035742306220933e-10,2.9130152207861623e-07
1983,7.144482267700575e-10,2.9378355342097553e-07
1984,5.457321459813511e-10,2.9007297744751017e-07
1985,5.37931841927884e-10,2.922629594844953e-07
1986,6.392877576517314e-10,2.8612050024483846e-07
1987,4.417998903224632e-10,2.8502779920407715e-07
1988,5.806269136123175e-10,2.83368377397762e-07
1989,5.39962655936905e-10,2.809585250166232e-07
1990,6.566701012321121e-10,2.7523782364369254e-07
1991,6.975236360728942e-10,2.7532858634263644e-07
1992,8.125405903669503e-10,2.700015378260494e-07
1993,8.1235205863704e-10,2.694395107027958e-07
1994,8.313211309816739e-10,2.6932009892074606e-07
1995,7.567071334614792e-10,2.6702486723349595e-07
1996,7.762564638699335e-10,2.6673378832648656e-07
1997,6.366416957107443e-10,2.6785691683731526e-07
1998,6.389369265151027e-10,2.668848679832081e-07
1999,5.734002439528041e-10,2.6941760893350876e-07
2000,4.880494827719239e-10,2.701914851854781e-07
