year,boys and girls,girls and boys
1900,4.131733643220059e-06,4.3385994552558316e-07
1901,4.278275406477405e-06,4.7572496715275746e-07
1902,4.288112615806009e-06,4.59709785645875e-07
1903,4.4479467179923755e-06,4.6540978068268905e-07
1904,4.6696275818801165e-06,4.654564009141739e-07
1905,4.87881246361407e-06,4.797315522608869e-07
1906,5.155982998011105e-06,4.9698011395094e-07
1907,5.566751034231337e-06,5.153969758911867e-07
1908,5.782079453199782e-06,5.030332759860454e-07
1909,6.316092791637728e-06,5.296406150482165e-07
1910,6.8505252061511006e-06,5.516671531020328e-07
1911,7.345490063568962e-06,5.774339345724196e-07
1912,8.08934722077278e-06,6.149906019357688e-07
1913,8.404855748267437e-06,6.420669692427541e-07
1914,8.758042460905407e-06,6.685630923795673e-07
1915,9.374032320660522e-06,6.924051990811872e-07
1916,9.492101205361384e-06,7.123650469509358e-07
1917,9.546647224364538e-06,7.095953889242017e-07
1918,9.707377273571183e-06,7.097247929672385e-07
1919,9.85162739246854e-06,7.054131455471894e-07
1920,9.975630973713123e-06,7.088302069746533e-07
1921,9.989456840133113e-06,7.02318237344457e-07
1922,9.844550865929186e-06,6.93928490796176e-07
1923,1.0194423103777289e-05,7.110946693700272e-07
1924,1.0400309089878387e-05,7.419381530736148e-07
1925,1.0478388950169966e-05,7.530739559566006e-07
1926,1.0537120305441152e-05,7.760845936693222e-07
1927,1.0994184208357183e-05,7.791384880765204e-07
1928,1.1247115663439087e-05,7.860723764606194e-07
1929,1.1533300729687263e-05,7.968649334039972e-07
1930,1.1509749055806293e-05,7.815230966506142e-07
1931,1.1880579726104251e-05,7.56182884690101e-07
1932,1.1743620068013375e-05,7.490089016317012e-07
1933,1.1628311455069706e-05,7.22284527045401e-07
1934,1.150264362438845e-05,7.029592405314945e-07
1935,1.1678115551408805e-05,7.036935219925258e-07
1936,1.1759017703687798e-05,7.119436765837657e-07
1937,1.1971963658652386e-05,7.234199314508163e-07
1938,1.1624553816805669e-05,7.241366584460302e-07
1939,1.1994044281696656e-05,7.427962176771124e-07
1940,1.1893795337820327e-05,7.274984487842013e-07
1941,1.1862650978855527e-05,7.5271386507885e-07
1942,1.1421465830250912e-05,7.435137892031207e-07
1943,1.1275767093366085e-05,7.231759277764078e-07
1944,1.0781803179530211e-05,6.928818753034907e-07
1945,1.0762038324888376e-05,6.812077835149921e-07
1946,1.0414803796265915e-05,6.596877954377436e-07
1947,1.0272260876068426e-05,6.623204867090796e-07
1948,1.0069771499437204e-05,6.351471673683915e-07
1949,1.0084376879961254e-05,6.159947632612882e-07
1950,9.847473876334334e-06,6.034260367572739e-07
1951,1.0087656838615137e-05,6.082299205242439e-07
1952,9.843981976993227e-06,6.034650843795524e-07
1953,9.796506398223365e-06,5.959820738508726e-07
1954,9.705972274787198e-06,5.935466794885055e-07
1955,9.724977429316694e-06,5.788025972159564e-07
1956,9.618096961665807e-06,5.663900274502762e-07
1957,9.370928625328037e-06,5.59150736886441e-07
1958,8.893807306874027e-06,5.403556256413009e-07
1959,8.640694817683781e-06,5.260342061624052e-07
1960,8.278666042217863e-06,5.121793308201665e-07
1961,7.966610931069746e-06,5.010248180781218e-07
1962,7.521785030511247e-06,4.866108930404574e-07
1963,7.189911270545832e-06,4.8652456920349e-07
1964,6.9756682908713885e-06,4.747482841135512e-07
1965,6.7354902739680256e-06,4.7048014094132534e-07
1966,6.498426841972105e-06,4.716842274226402e-07
1967,6.303207438155109e-06,4.6167986462413477e-07
1968,6.166601987648132e-06,4.608041874425745e-07
1969,5.962161891050398e-06,4.6822406092011146e-07
1970,5.7677851421950824e-06,4.6942907922747116e-07
1971,5.638845495679692e-06,4.811751733565675e-07
1972,5.545586952442656e-06,4.925139107976e-07
1973,5.487818821084797e-06,5.052641573704315e-07
1974,5.3164069961602375e-06,5.376259277767302e-07
1975,5.1721706516413434e-06,5.556330808786925e-07
1976,5.072469396135863e-06,5.699344100154998e-07
1977,4.985230384184953e-06,6.033549578684674e-07
1978,4.769255915399689e-06,6.315170623898731e-07
1979,4.61052834412255e-06,6.382868301203969e-07
1980,4.419962116181913e-06,6.550168488875637e-07
1981,4.301618710249905e-06,6.393086052928051e-07
1982,4.157885415777075e-06,6.362623682524113e-07
1983,4.001862088947357e-06,6.362748740583259e-07
1984,3.850873276129668e-06,6.261934711712262e-07
1985,3.7696562031896974e-06,6.196630391031022e-07
1986,3.673848713755693e-06,6.325486747726928e-07
1987,3.5632131008307107e-06,6.249418942973404e-07
1988,3.4647624797149286e-06,6.360132659263432e-07
1989,3.4173359689962775e-06,6.519537438163882e-07
1990,3.376362631765265e-06,6.808019161752554e-07
1991,3.324759975141335e-06,7.035022499784256e-07
1992,3.3210431585725275e-06,7.235428253998017e-07
1993,3.282696653172934e-06,7.405018599574273e-07
1994,3.2599990435398596e-06,7.709379319058891e-07
1995,3.27199650078975e-06,8.003937489929415e-07
1996,3.2366633381083635e-06,8.121854802668948e-07
1997,3.2254391381262134e-06,8.142868266653685e-07
1998,3.22028466825941e-06,8.166655316443893e-07
1999,3.199959263611163e-06,8.1828305695808e-07
2000,3.2058998087336477e-06,8.242271638536636e-07
