year,cats and dogs,dogs and cats
1900,2.6507547323806335e-07,2.5676468627666704e-07
1901,2.4948464085738923e-07,2.5421981700857185e-07
1902,2.458919226011602e-07,2.5341469951182616e-07
1903,2.4369007643544804e-07,2.5576210412246526e-07
1904,2.394259960450792e-07,2.576872644710626e-07
1905,2.434258398663149e-07,2.576871039010926e-07
1906,2.4423309114800826e-07,2.544224282998085e-07
1907,2.4890028780890005e-07,2.616267634282719e-07
1908,2.6911923534100874e-07,2.7403165584313373e-07
1909,2.7677881516062287e-07,2.7722816042796694e-07
1910,2.906055735655119e-07,3.0069920153863455e-07
1911,2.905256490540583e-07,3.10475168431777e-07
1912,2.928766445793001e-07,3.1553857710824626e-07
1913,3.021732119047802e-07,3.3950538405999205e-07
1914,3.023756779487106e-07,3.265157607861597e-07
1915,2.998212869642636e-07,3.237815847894383e-07
1916,2.935358801105435e-07,3.286969765655837e-07
1917,2.81451210464618e-07,3.082364750820307e-07
1918,2.833605816654483e-07,3.031203535873241e-07
1919,2.780878407231719e-07,2.8917118414874464e-07
1920,2.7782864133106345e-07,2.713291771657848e-07
1921,2.8293113607524845e-07,2.8662450095901756e-07
1922,2.8409597027260046e-07,2.793097288059495e-07
1923,2.978896921833142e-07,2.8329990271152336e-07
1924,3.0704166279324087e-07,2.82622515549288e-07
1925,3.1270628001297697e-07,2.926407181976945e-07
1926,3.2258239520846897e-07,3.108334780042656e-07
1927,3.2021661880829046e-07,3.1277063713578255e-07
1928,3.2812349041019424e-07,3.060230335170745e-07
1929,3.3267581261193465e-07,3.083815579404562e-07
1930,3.2736919581515575e-07,2.9792809711334407e-07
1931,3.2544672943858803e-07,3.074847428738029e-07
1932,3.230355649641581e-07,2.959499187937808e-07
1933,3.241987193623532e-07,2.966654536790918e-07
1934,3.141035857444154e-07,2.9972870276205405e-07
1935,3.072218391115505e-07,3.117162865131005e-07
1936,2.9873483087250463e-07,3.175390489123282e-07
1937,3.0294607911152127e-07,3.282295340443854e-07
1938,3.0624543862727597e-07,3.257538894661595e-07
1939,3.0572841042924334e-07,3.487519733478907e-07
1940,3.0569174304582803e-07,3.789052926020783e-07
1941,3.151735295446402e-07,3.889426650590825e-07
1942,3.1068855692912525e-07,3.907706967850747e-07
1943,3.1441666954139844e-07,4.050911876734326e-07
1944,3.080887281324353e-07,4.0165728600248335e-07
1945,3.0019258382260207e-07,3.9656983744481724e-07
1946,2.9828392126126803e-07,3.9258987974807476e-07
1947,2.8646838111180877e-07,3.6075494337848924e-07
1948,2.827650886137535e-07,3.5207905663930154e-07
1949,2.814273335165802e-07,3.4518620346218096e-07
1950,2.766719916185473e-07,3.3935817562407475e-07
1951,2.7401086315809966e-07,3.3590847909564e-07
1952,2.792808955685646e-07,3.4074048779356557e-07
1953,2.8309572249910324e-07,3.404121539889766e-07
1954,2.9292315336818374e-07,3.4833422679625414e-07
1955,2.9266282992284385e-07,3.4806410008160676e-07
1956,2.842481004857892e-07,3.364903904718679e-07
1957,2.7878409311224826e-07,3.299325554984023e-07
1958,2.784673183788198e-07,3.4331202065323344e-07
1959,2.711209084222637e-07,3.428901267683265e-07
1960,2.6376064503936494e-07,3.3898035280342604e-07
1961,2.5268438532042937e-07,3.2636072822000983e-07
1962,2.575613712466459e-07,3.4068087202092965e-07
1963,2.565234355410086e-07,3.4097003360449616e-07
1964,2.558713266027318e-07,3.4987024680585173e-07
1965,2.5662667242037127e-07,3.3694705184724884e-07
1966,2.5948851039332107e-07,3.3224004220804607e-07
1967,2.5861272047654283e-07,3.216990022940942e-07
1968,2.592065261161228e-07,3.2556313480012834e-07
1969,2.547096311961943e-07,3.225121461320717e-07
1970,2.5945472770239064e-07,3.294490036966278e-07
1971,2.6445136693174577e-07,3.2046243652367986e-07
1972,2.6562934191914115e-07,3.38059087517146e-07
1973,2.643831278982743e-07,3.499983759956495e-07
1974,2.6670412868666305e-07,3.5812527159657345e-07
1975,2.6732355281769825e-07,3.6432081078936154e-07
1976,2.620017178449936e-07,3.5168938307604337e-07
1977,2.6482941059161445e-07,3.7269511711711196e-07
1978,2.601116347073734e-07,3.694701341063121e-07
1979,2.5839835471330725e-07,3.581256382239368e-07
1980,2.5972340881149793e-07,3.6009420366158095e-07
1981,2.606869931349414e-07,3.5522507938320504e-07
1982,2.6047603997523895e-07,3.5533510705272017e-07
1983,2.64122359856194e-07,3.5549868883576e-07
1984,2.5946294712753115e-07,3.319559341693637e-07
1985,2.6304621534935434e-07,3.305228030317916e-07
1986,2.676617754739295e-07,3.3239881805765694e-07
1987,2.7060757095449214e-07,3.326303709932128e-07
1988,2.731331310330225e-07,3.4046168919031417e-07
1989,2.7796213280290824e-07,3.4169408470928276e-07
1990,2.827650896922559e-07,3.577831217325768e-07
1991,2.9020994464699713e-07,3.7255453059056466e-07
1992,2.926527658938685e-07,4.1416377261072057e-07
1993,2.89417440996991e-07,4.1935234345353525e-07
1994,2.944904610962291e-07,4.17439730782121e-07
1995,3.0283896736347866e-07,4.3856072005711765e-07
1996,3.087252956137019e-07,4.5908612593998607e-07
1997,3.1321644084718917e-07,4.734294471374158e-07
1998,3.155480333324097e-07,4.835279481992435e-07
1999,3.215545410384379e-07,4.6235418356133095e-07
2000,3.33818917397366e-07,4.819455632354419e-07
