year,cheese and wine,wine and cheese
1900,5.1899472081062825e-09,3.40669860376952e-09
1901,5.005743253239104e-09,5.286715165642164e-09
1902,5.158155430562417e-09,5.76231219221827e-09
1903,5.546062696394826e-09,5.961658000597225e-09
1904,4.896499198167196e-09,5.696560152162229e-09
1905,5.661741757962651e-09,5.745847646882701e-09
1906,6.455291618705823e-09,6.525109888918682e-09
1907,6.1780126570099014e-09,7.044949480926123e-09
1908,7.1543336493158046e-09,5.849876361097017e-09
1909,8.105049599725435e-09,4.686976743225761e-09
1910,8.980925733251662e-09,3.6644434788156234e-09
1911,1.0719138465731248e-08,2.7590582199873583e-09
1912,1.0452899244585621e-08,2.3900765176522653e-09
1913,1.0099538094721083e-08,1.9754276309973714e-09
1914,9.482179811178985e-09,1.946492237233802e-09
1915,8.995607631805719e-09,1.3120251551868023e-09
1916,8.707384852828831e-09,1.5633982204071068e-09
1917,7.632564620012922e-09,2.283498009728443e-09
1918,6.5136212058978876e-09,3.702079674562851e-09
1919,6.176682855661499e-09,3.971642617958285e-09
1920,5.2069168500677526e-09,3.607029262577198e-09
1921,6.021619369800391e-09,4.3396582042173495e-09
1922,5.692068951100384e-09,4.853021651207712e-09
1923,4.726206576893028e-09,5.144024571381221e-09
1924,5.562547605071038e-09,4.541403681684082e-09
1925,5.565231236166162e-09,4.192989685617274e-09
1926,5.949303502220513e-09,4.1828557918931e-09
1927,7.546552842947157e-09,5.330404768371417e-09
1928,8.17989498358429e-09,4.2354036309890015e-09
1929,8.085231595345022e-09,4.5324983607589584e-09
1930,8.322680386133439e-09,6.0176667299976265e-09
1931,6.967265431256919e-09,6.984904036119336e-09
1932,7.500734398670415e-09,5.9303714637439145e-09
1933,7.819846730467667e-09,7.3400906939826075e-09
1934,7.48967249331045e-09,7.235903622314157e-09
1935,6.9398253413740665e-09,7.673846288572657e-09
1936,7.064949696695371e-09,7.092104157914645e-09
1937,7.980896380274264e-09,6.275825176998191e-09
1938,1.007772537642282e-08,6.1134870499302e-09
1939,1.1999401258336713e-08,8.176519953170416e-09
1940,1.1973506503742165e-08,8.197209308161542e-09
1941,1.1989483437803626e-08,8.912755089518498e-09
1942,1.2666854438363778e-08,1.1471876702552817e-08
1943,1.459711272490592e-08,1.290536499887196e-08
1944,1.630310724516042e-08,1.2209518729378033e-08
1945,1.5914479575432746e-08,1.1863950615571234e-08
1946,1.3679383467238689e-08,1.0199779259296397e-08
1947,1.2829957762861e-08,9.316577557047114e-09
1948,1.2313798457088052e-08,8.805023408799328e-09
1949,1.2555390140254831e-08,7.0640790042883086e-09
1950,1.1261761737443467e-08,6.4797266282771e-09
1951,8.805409219230548e-09,7.253507635799191e-09
1952,8.403042063763268e-09,7.57377528946636e-09
1953,8.851822187936977e-09,7.994668530361286e-09
1954,1.0319796152545381e-08,7.757010066024504e-09
1955,1.1091557481991896e-08,7.160289282128117e-09
1956,1.1229826433835553e-08,7.046933100543892e-09
1957,1.1256652209563304e-08,6.701062022734001e-09
1958,1.1980145030771842e-08,6.301945283076244e-09
1959,1.1788002855585485e-08,6.722600147192535e-09
1960,1.1358132938145612e-08,7.4230593933537796e-09
1961,1.0479312675551863e-08,7.934184174742041e-09
1962,9.94191308247215e-09,8.235752468888082e-09
1963,9.390386983871528e-09,8.293871018543492e-09
1964,9.215143410250855e-09,9.436389320731971e-09
1965,8.554110550848141e-09,1.0418070890099479e-08
1966,8.229494605612888e-09,1.1020937373024914e-08
1967,9.053738754736886e-09,1.1649612691178033e-08
1968,9.473362780739893e-09,1.2480776793008123e-08
1969,9.580100522401023e-09,1.4026932433035862e-08
1970,1.00617209643415e-08,1.554130389459983e-08
1971,1.082114016250278e-08,1.7409952400372827e-08
1972,1.2006046141393208e-08,2.0167388417987753e-08
1973,1.3537815408375714e-08,2.3702017150549285e-08
1974,1.44643962918245e-08,2.6959094520265633e-08
1975,1.5377197491530022e-08,2.942570752934819e-08
1976,1.7552251989151812e-08,3.257433771925682e-08
1977,1.7559535187006148e-08,3.590620818132757e-08
1978,1.795028335495528e-08,3.9726693189047676e-08
1979,1.7882857559849338e-08,4.3421794112700034e-08
1980,1.7764549402927395e-08,4.777296858105018e-08
1981,1.8448126637427013e-08,5.359844580863994e-08
1982,1.8205572565361498e-08,5.921251178264697e-08
1983,1.815170519448017e-08,6.552381780013303e-08
1984,1.8688934467452663e-08,6.951065592960708e-08
1985,2.0033801934842595e-08,7.066811275840175e-08
1986,2.0460505194869986e-08,7.242116411327564e-08
1987,2.0415556174173995e-08,7.16404899213176e-08
1988,2.0170137076431464e-08,6.97117282947143e-08
1989,2.0520178770474677e-08,6.871712183403084e-08
1990,1.983639311539268e-08,6.755110562980553e-08
1991,2.0168611836179906e-08,6.806034570848243e-08
1992,1.8870453897891692e-08,6.843584388072088e-08
1993,1.888311344392221e-08,6.778423168794592e-08
1994,1.8880087198001683e-08,6.843110589294099e-08
1995,1.799668004105153e-08,6.913451259090867e-08
1996,1.8234007238628258e-08,7.036142909580942e-08
1997,1.8743117928741804e-08,6.892617254727895e-08
1998,1.8503471428676918e-08,6.783188758833585e-08
1999,1.8724332548347712e-08,6.866304231856191e-08
2000,1.8917161961895523e-08,6.93337560697671e-08
