year,cops and robbers
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,1.1132317290218907e-10
1907,2.1676647778333192e-10
1908,4.2825551041910815e-10
1909,1.1268792724347267e-09
1910,1.5480714170885384e-09
1911,2.302848324729569e-09
1912,2.302848324729569e-09
1913,2.19152515182738e-09
1914,2.569061384262637e-09
1915,2.6324712489232488e-09
1916,1.9338474869076296e-09
1917,1.8212695240826804e-09
1918,1.06649261644165e-09
1919,1.1675776218871598e-09
1920,1.6638738640852223e-09
1921,1.1808943267688221e-09
1922,1.1626771529676156e-09
1923,1.1626771529676156e-09
1924,8.540629711387533e-10
1925,1.5608587359114014e-09
1926,1.707419301182662e-09
1927,2.0144073234870265e-09
1928,2.135083443377539e-09
1929,2.5537835338492896e-09
1930,5.67308263857821e-09
1931,7.5713359867383e-09
1932,8.963366493475176e-09
1933,9.66822608480403e-09
1934,1.1531311072676687e-08
1935,1.9335742348517267e-08
1936,2.4492619630857504e-08
1937,2.8277533219751253e-08
1938,3.375830424724922e-08
1939,3.9038892769254526e-08
1940,4.386348678719898e-08
1941,4.752918494491506e-08
1942,4.731459326715434e-08
1943,5.406759627314881e-08
1944,5.7162514182402495e-08
1945,5.8051099475050656e-08
1946,6.29462491574806e-08
1947,6.65516318165693e-08
1948,7.082206950258042e-08
1949,7.244873249735915e-08
1950,6.830664411079062e-08
1951,7.171519539328487e-08
1952,7.258146683675193e-08
1953,6.8402831946265e-08
1954,6.72150803666354e-08
1955,6.622748187158833e-08
1956,6.491817573189048e-08
1957,6.342882058077824e-08
1958,5.9255753672874234e-08
1959,5.838304164324753e-08
1960,5.681346651068405e-08
1961,5.880527506607613e-08
1962,5.672141314178829e-08
1963,5.714091435333429e-08
1964,5.733362387627671e-08
1965,5.594602356384649e-08
1966,5.707042301437783e-08
1967,6.036761093786147e-08
1968,6.197267930575988e-08
1969,6.416126856399553e-08
1970,6.89130281529758e-08
1971,7.560908371617714e-08
1972,7.865635459625153e-08
1973,8.142718892410552e-08
1974,8.279494202932469e-08
1975,8.366658256685001e-08
1976,8.442068953023224e-08
1977,8.212571192545148e-08
1978,7.803867061688991e-08
1979,7.676751384181175e-08
1980,7.493363951164131e-08
1981,7.539322838256979e-08
1982,7.136621592891095e-08
1983,7.023720347792179e-08
1984,7.0691241420086e-08
1985,7.108723226337662e-08
1986,7.182501814338518e-08
1987,7.121473826913035e-08
1988,6.967365050379394e-08
1989,7.068432403278813e-08
1990,7.094967946882516e-08
1991,6.975316960937989e-08
1992,6.89053571859396e-08
1993,6.800285516837613e-08
1994,6.616550467440442e-08
1995,6.352757987517143e-08
1996,6.225448086007367e-08
1997,6.10184830638984e-08
1998,5.933293241444648e-08
1999,5.817430983046101e-08
2000,5.616566518124033e-08
