year,ends and odds,odds and ends
1900,3.812966331562251e-10,8.28791478446611e-07
1901,3.0503730652498005e-10,8.144378070618074e-07
1902,2.541977554374834e-10,7.998159274880122e-07
1903,3.2013711522996656e-10,7.968081265273342e-07
1904,3.2013711522996656e-10,7.879417278961702e-07
1905,4.209444142461954e-10,7.962319909753698e-07
1906,2.030606238712096e-10,7.93512644703398e-07
1907,2.030606238712096e-10,7.87001795890926e-07
1908,3.0880514018909773e-10,8.229854108357922e-07
1909,3.0880514018909773e-10,8.298521559765452e-07
1910,2.0655181533411693e-10,8.533820304698229e-07
1911,2.0655181533411693e-10,8.54132189357212e-07
1912,1.0574451631788812e-10,8.463656240615641e-07
1913,1.0574451631788812e-10,8.457072800790602e-07
1914,1.0717036068110174e-09,8.979801365985704e-07
1915,1.103408539141323e-09,8.853894813500217e-07
1916,1.2290950717514753e-09,9.115801508561917e-07
1917,1.8463234354091996e-09,9.316201107699231e-07
1918,2.0811552719252853e-09,9.453301821972712e-07
1919,2.2833252828163046e-09,9.769711372596492e-07
1920,2.2833252828163046e-09,1.0120374299863298e-06
1921,1.3173661923231756e-09,9.965931603770985e-07
1922,1.3082576054225724e-09,1.0123893537463045e-06
1923,1.18257107281242e-09,1.0195175483523097e-06
1924,5.653427091546957e-10,1.001793969430358e-06
1925,4.48310166767385e-10,1.0225876765040148e-06
1926,2.4614015587636525e-10,1.025612866761045e-06
1927,2.4614015587636525e-10,1.0189204871581734e-06
1928,2.4614015587636525e-10,1.0172528806608381e-06
1929,1.177992941287747e-10,1.0171508013634423e-06
1930,1.177992941287747e-10,1.0358214148631362e-06
1931,1.177992941287747e-10,1.0560073839498733e-06
1932,0.0,1.0532295450385985e-06
1933,2.3812629645902916e-10,1.0693778605487734e-06
1934,2.3812629645902916e-10,1.097409821808932e-06
1935,2.3812629645902916e-10,1.0946672051354817e-06
1936,2.3812629645902916e-10,1.0851210290319102e-06
1937,2.3812629645902916e-10,1.0525394913101543e-06
1938,2.3812629645902916e-10,1.0416502231563082e-06
1939,2.3812629645902916e-10,1.036916628814412e-06
1940,1.6047498250872294e-10,1.028622272247759e-06
1941,1.6047498250872294e-10,1.008916857677836e-06
1942,7.773162272580894e-10,1.0145353275576544e-06
1943,1.014773994992676e-09,1.0541104986978261e-06
1944,1.014773994992676e-09,1.07957407064723e-06
1945,1.014773994992676e-09,1.0640192284075819e-06
1946,1.014773994992676e-09,1.0539555549574485e-06
1947,8.542990124839531e-10,1.0301731658200554e-06
1948,9.433956948967648e-10,9.94671338500857e-07
1949,3.2655445014739826e-10,9.494897903472576e-07
1950,1.789176822570531e-10,8.874679077334033e-07
1951,1.789176822570531e-10,8.641863733187854e-07
1952,4.2357521458567607e-10,8.381416191559157e-07
1953,4.2357521458567607e-10,8.146583209292909e-07
1954,5.699096829379715e-10,7.898986190849454e-07
1955,4.808130005251599e-10,7.668715085491179e-07
1956,4.808130005251599e-10,7.439625751956161e-07
1957,3.9099200068091836e-10,7.148519783419159e-07
1958,3.9099200068091836e-10,6.681393030584712e-07
1959,1.463344683522954e-10,6.420028152907621e-07
1960,1.463344683522954e-10,6.119651467160837e-07
1961,0.0,5.802271428085553e-07
1962,0.0,5.543706361267808e-07
1963,8.241340149999538e-11,5.358216954576279e-07
1964,8.241340149999538e-11,5.268588297064573e-07
1965,1.903998466826603e-10,5.149103217773541e-07
1966,1.903998466826603e-10,5.094882528248032e-07
1967,1.903998466826603e-10,5.004751602985127e-07
1968,1.903998466826603e-10,4.969542104810948e-07
1969,2.2462391074158054e-10,4.96992854553164e-07
1970,1.7740819924227935e-10,4.974355557304681e-07
1971,1.7740819924227935e-10,4.850674991832956e-07
1972,6.942175405961442e-11,4.6763366284047994e-07
1973,5.071869432374651e-10,4.5962425465617684e-07
1974,7.720696780312763e-10,4.561809529489226e-07
1975,1.0338422499042312e-09,4.48243195576887e-07
1976,4.0281697699651176e-09,4.385539423041556e-07
1977,4.147860658118166e-09,4.2971253634758816e-07
1978,4.8579159405465995e-09,4.262871854240505e-07
1979,5.300697942086811e-09,4.3218829886321993e-07
1980,5.350385481883713e-09,4.256563296120167e-07
1981,6.242519051283654e-09,4.1971600379347205e-07
1982,6.711304125534794e-09,4.1945468419259307e-07
1983,4.496409615671405e-09,4.156152742597539e-07
1984,5.183759974840869e-09,4.137428042711682e-07
1985,6.896229603243447e-09,4.069799586225997e-07
1986,7.304133266470915e-09,4.0122167600996156e-07
1987,7.382050510556277e-09,3.981348083595801e-07
1988,7.219440477974308e-09,3.9638127878406847e-07
1989,7.203468674729255e-09,3.9043053263425923e-07
1990,6.942772769390006e-09,3.894436020969648e-07
1991,6.278496778033826e-09,3.8754984945020355e-07
1992,3.87323294469079e-09,3.867592575090839e-07
1993,3.5779635623337367e-09,3.8269764246479104e-07
1994,3.3784979595687302e-09,3.781888063666575e-07
1995,2.6422661142389003e-09,3.731522771412342e-07
1996,2.15631671645384e-09,3.678284654322945e-07
1997,1.8969591631628243e-09,3.643373261181487e-07
1998,2.00549558672843e-09,3.5916053668187214e-07
1999,2.3824291955909517e-09,3.556445897778815e-07
2000,2.0060580002700945e-09,3.531039969306704e-07
