year,law and order,order and law
1900,1.7532506602080389e-06,8.307675436469708e-08
1901,1.7519410768329636e-06,8.723684887801396e-08
1902,1.7785325372443597e-06,1.0587525273164643e-07
1903,1.7963480460585809e-06,9.985076243612669e-08
1904,1.7890995742675386e-06,1.1467627944064924e-07
1905,1.8491836922659592e-06,1.2341388726839447e-07
1906,1.8584140672065326e-06,1.338937468992845e-07
1907,1.902254933635764e-06,1.3619915485905766e-07
1908,1.955049537879664e-06,1.3383740432582059e-07
1909,1.988475795704809e-06,1.148805451005914e-07
1910,2.023633305116488e-06,1.1357205421352085e-07
1911,2.1082988738945526e-06,9.395551962633673e-08
1912,2.1025052906306233e-06,8.024602055067831e-08
1913,2.159941856356389e-06,6.883806983960992e-08
1914,2.1945313827740975e-06,6.396011809073343e-08
1915,2.3027693220204322e-06,6.27531190899866e-08
1916,2.4296402558426123e-06,6.169279413516448e-08
1917,2.6335533834956744e-06,6.295342229258236e-08
1918,2.749410109105708e-06,7.23303983453581e-08
1919,2.8854908948566e-06,7.497553367041832e-08
1920,2.9365700794211795e-06,7.505943444563457e-08
1921,3.015537135045828e-06,7.85524004810943e-08
1922,2.9227476027975693e-06,7.536702064817444e-08
1923,2.847755366376857e-06,7.616641467533825e-08
1924,2.725530819702726e-06,7.686448069302695e-08
1925,2.679525278738635e-06,6.526254083974844e-08
1926,2.597113591613314e-06,6.317731346009278e-08
1927,2.6325585470285006e-06,5.932407921254474e-08
1928,2.596605402313149e-06,5.317115047460368e-08
1929,2.6796049965582824e-06,4.994842492786081e-08
1930,2.715197551493377e-06,4.509505204966909e-08
1931,2.783803333374278e-06,3.9954346553461306e-08
1932,2.793068740609377e-06,4.5221103377774645e-08
1933,2.92488429159172e-06,4.174461824625806e-08
1934,2.9495607404125423e-06,4.215581222195246e-08
1935,3.044336235547007e-06,4.380576138337692e-08
1936,3.103970071448105e-06,4.797729637383087e-08
1937,3.1432722207926285e-06,4.893984552532617e-08
1938,3.1328868226004095e-06,5.1708826649082036e-08
1939,3.1450218003215014e-06,4.862899513228111e-08
1940,3.124601039620042e-06,5.6528475820906624e-08
1941,3.257846108186056e-06,5.713203852865588e-08
1942,3.2853306411847627e-06,5.892218078530829e-08
1943,3.2503308184621863e-06,5.7367816386211246e-08
1944,3.212078383845502e-06,5.9460283744324934e-08
1945,3.195997389785329e-06,5.84261686333219e-08
1946,3.152429397143156e-06,5.715465860906781e-08
1947,3.12221742250683e-06,5.1568273920895736e-08
1948,2.897120103690603e-06,5.24645505928234e-08
1949,2.779379671429589e-06,4.988431504379268e-08
1950,2.734455859711358e-06,4.7883476644068016e-08
1951,2.7584287017085837e-06,4.6047975734074346e-08
1952,2.6882583970940943e-06,4.5003979194062945e-08
1953,2.7468160591784648e-06,4.315129904984362e-08
1954,2.746929738910759e-06,4.065062596853813e-08
1955,2.847979308130886e-06,3.7964767845328444e-08
1956,2.9074684815912273e-06,3.574336564028867e-08
1957,2.982339835406427e-06,3.624212845705038e-08
1958,3.013453829834946e-06,3.588483386234615e-08
1959,3.15282655602037e-06,3.5905532697848886e-08
1960,3.1721875239603444e-06,3.455471464519633e-08
1961,3.349534695067697e-06,3.6526162967247845e-08
1962,3.471336165310796e-06,3.70771208021584e-08
1963,3.631287832206454e-06,3.7273139919762644e-08
1964,3.7783128519208735e-06,3.613775239766756e-08
1965,3.9342287294630304e-06,3.74956856119546e-08
1966,4.112700481633575e-06,3.768220635524955e-08
1967,4.3745558378256125e-06,3.9255794614945216e-08
1968,4.567037470743734e-06,3.934758192285821e-08
1969,4.702036186188252e-06,3.806338101851128e-08
1970,4.803413183651628e-06,3.763504295111504e-08
1971,4.8586989943747275e-06,3.600604332544753e-08
1972,4.845112394085456e-06,3.335195114132336e-08
1973,4.761989176569972e-06,3.222147057105726e-08
1974,4.586942846377237e-06,2.95801917563462e-08
1975,4.3985724756469476e-06,2.8133745936084357e-08
1976,4.219260941137496e-06,2.6946812035712394e-08
1977,4.038158265424434e-06,2.530133528879018e-08
1978,3.883398690618378e-06,2.536030715586232e-08
1979,3.752255678486043e-06,2.367065524541293e-08
1980,3.6297714984812046e-06,2.25331301712777e-08
1981,3.5703145745255175e-06,2.2312334230223385e-08
1982,3.4454941472615374e-06,2.0793209112857095e-08
1983,3.3498973520197846e-06,1.960913611249409e-08
1984,3.2738645186571247e-06,1.9701635834661653e-08
1985,3.210360005263218e-06,1.859794378024558e-08
1986,3.1924296156457132e-06,1.8448510409805963e-08
1987,3.1574859542209718e-06,1.83381099749802e-08
1988,3.1141768468095113e-06,1.7630486078993154e-08
1989,3.0687536575361004e-06,1.8564656873284613e-08
1990,3.0745986785112626e-06,1.9221516648190318e-08
1991,3.0259492181780194e-06,1.9189755990594344e-08
1992,2.973732568380326e-06,2.023157982018147e-08
1993,2.930223365029048e-06,2.19111478841746e-08
1994,2.9072223759791475e-06,2.17245651190634e-08
1995,2.868540283275576e-06,2.228967895177649e-08
1996,2.82731763080944e-06,2.199818750968165e-08
1997,2.7657775285255023e-06,2.212562396591051e-08
1998,2.768328690431569e-06,2.2200580186704233e-08
1999,2.7799379253679033e-06,2.214591161286972e-08
2000,2.7751836633171933e-06,2.1078653388711954e-08
