year,life and times,times and life
1900,9.80574204834106e-07,7.647200650495733e-10
1901,9.664579553536613e-07,6.117760520396587e-10
1902,9.790413129836157e-07,6.331512166409444e-10
1903,1.0099413225717058e-06,5.427010428350951e-10
1904,1.0413934050974253e-06,4.3097069563862485e-10
1905,1.06212384303512e-06,6.222813375700298e-10
1906,1.078215739104747e-06,6.222813375700298e-10
1907,1.0549583684722156e-06,7.203477100528995e-10
1908,1.062004270619659e-06,7.203477100528995e-10
1909,1.0374083393597085e-06,6.146295615318462e-10
1910,9.890016094971086e-07,6.146295615318462e-10
1911,9.661799591498268e-07,5.133085068109722e-10
1912,9.369740470483683e-07,3.2881765564342555e-10
1913,9.198472975059855e-07,4.503554434138428e-10
1914,8.745941109111753e-07,1.567662515673212e-09
1915,8.376124105424766e-07,1.8425614129695995e-09
1916,8.129009186421042e-07,2.093934478189904e-09
1917,7.746933939107541e-07,2.093934478189904e-09
1918,7.637562734950721e-07,2.3287663147059892e-09
1919,7.579790004858771e-07,2.4130052797158694e-09
1920,7.1299297878445e-07,2.663689681524163e-09
1921,7.079531187630701e-07,1.3354959995025085e-09
1922,7.246801096031216e-07,1.3172788257013022e-09
1923,7.721202679444871e-07,2.015063719059843e-09
1924,8.243644715426919e-07,2.1325426186840394e-09
1925,8.282672575735513e-07,1.897710782167954e-09
1926,8.464636227500932e-07,2.0670091194219253e-09
1927,8.810370906482084e-07,1.8095418259050128e-09
1928,8.934945035906798e-07,2.2922463054670624e-09
1929,9.227218627902037e-07,2.035564581971881e-09
1930,9.147027443415619e-07,1.0864066233930357e-09
1931,9.208143302455847e-07,1.104517247504536e-09
1932,1.0265564723991155e-06,1.104517247504536e-09
1933,1.045123762326889e-06,1.0902383519782534e-09
1934,1.0529344221283613e-06,1.207341655223055e-09
1935,1.0761705316727645e-06,8.378529933342601e-10
1936,1.0742440950752197e-06,9.522110163854132e-10
1937,1.0548312145023227e-06,9.522110163854132e-10
1938,1.0502880333059953e-06,1.47546295023052e-09
1939,9.3920014876403e-07,1.748774609249588e-09
1940,9.189582902572165e-07,1.7125351216483254e-09
1941,9.140200564987972e-07,1.480676922341725e-09
1942,8.931005937652868e-07,1.5216714158558122e-09
1943,8.5123505598274e-07,1.5260422766719526e-09
1944,8.449722828255242e-07,1.835293734447114e-09
1945,8.535206063190312e-07,1.5609922560904418e-09
1946,8.763332293477383e-07,1.6358951970829594e-09
1947,9.015696320296181e-07,1.749319387757607e-09
1948,8.990176468667446e-07,2.194802799821665e-09
1949,9.050488354311881e-07,2.040592488634323e-09
1950,9.125845287862231e-07,2.370968596058073e-09
1951,9.274419082399328e-07,2.319557173320013e-09
1952,8.94779480889848e-07,2.1796747264245043e-09
1953,8.786719905007346e-07,1.9100613868339167e-09
1954,8.767663113624329e-07,1.8415234020225618e-09
1955,8.891248945985808e-07,1.757502635487843e-09
1956,8.862968484203903e-07,2.1035316345928224e-09
1957,9.099391060957933e-07,2.2644107303523444e-09
1958,9.19254858265463e-07,2.2847217451271717e-09
1959,9.532976822538127e-07,2.5975664238612038e-09
1960,9.85719317217867e-07,2.7123386235418577e-09
1961,9.818481964605854e-07,2.687678405230035e-09
1962,9.949022457307016e-07,2.8023162758548737e-09
1963,1.0030755034203968e-06,2.8683542921800355e-09
1964,1.004206349440397e-06,3.039411563702085e-09
1965,1.0105820355781655e-06,3.1212153258789297e-09
1966,1.0281170842293567e-06,3.1072788310636062e-09
1967,1.0100445373417697e-06,3.4732529868059765e-09
1968,1.0166244588383222e-06,3.6248606259471822e-09
1969,9.80334226304994e-07,3.6621210627466436e-09
1970,9.840405713136744e-07,3.426042501285055e-09
1971,9.852835881777163e-07,3.104066420567264e-09
1972,9.73151644410665e-07,3.1269778552215197e-09
1973,9.435010254347072e-07,2.8528060984951105e-09
1974,9.49734199919204e-07,2.624561905108434e-09
1975,9.216617301735905e-07,2.5898803141759838e-09
1976,9.272358328133684e-07,2.5497305735010046e-09
1977,9.215216376011272e-07,2.6525415633812546e-09
1978,9.069476090774385e-07,2.6874278001378015e-09
1979,8.997814317116389e-07,2.7473435550349835e-09
1980,8.862428169744061e-07,3.4528550376032386e-09
1981,8.733975913293486e-07,4.009694318637561e-09
1982,8.819874008279629e-07,4.0734192328719035e-09
1983,8.8636264797667e-07,3.9947084211939506e-09
1984,8.928270844548487e-07,4.076868525310877e-09
1985,9.11253445558456e-07,4.205851984145121e-09
1986,9.24459270690292e-07,4.15569412215433e-09
1987,9.317132467767663e-07,3.584624375108092e-09
1988,9.408748717592326e-07,3.1938848232826444e-09
1989,9.551098176796557e-07,3.3114241824806966e-09
1990,9.695881258827858e-07,3.4889525554352272e-09
1991,9.753672667311972e-07,3.5373077800215924e-09
1992,9.854256146318058e-07,3.622076987548033e-09
1993,1.00234707017017e-06,3.6378471663616504e-09
1994,1.0251210931550808e-06,3.72718690831521e-09
1995,1.0427846489159874e-06,3.624838762483762e-09
1996,1.0504451790309993e-06,3.485614717492678e-09
1997,1.0572895967619902e-06,3.2199549455340963e-09
1998,1.0650804015780817e-06,3.2790802018123344e-09
1999,1.0685331898407922e-06,2.944110388813925e-09
2000,1.0649990664912679e-06,2.9654479288820923e-09
